age	gender	diagnosis	year	nConsultations
0-5	M	Hjertesykdom	2019	401
0-5	M	Hjertesykdom	2020	362
0-5	M	Diabetes	2012	52
0-5	M	Diabetes	2013	78
0-5	M	Diabetes	2014	73
0-5	M	Diabetes	2015	62
0-5	M	Diabetes	2016	72
0-5	M	Diabetes	2017	61
0-5	M	Diabetes	2018	54
0-5	M	Diabetes	2019	61
0-5	M	Diabetes	2020	80
0-5	M	Kreft	2012	12
0-5	M	Kreft	2013	32
0-5	M	Kreft	2014	27
0-5	M	Kreft	2015	49
0-5	M	Kreft	2016	41
0-5	M	Kreft	2017	63
0-5	M	Kreft	2018	51
0-5	M	Kreft	2019	42
0-5	M	Kreft	2020	45
0-5	M	Underlivsplager hos kvinner	2012	NA
0-5	M	Underlivsplager hos kvinner	2013	NA
0-5	M	Underlivsplager hos kvinner	2014	NA
0-5	M	Underlivsplager hos kvinner	2015	NA
0-5	M	Underlivsplager hos kvinner	2016	NA
0-5	M	Underlivsplager hos kvinner	2017	NA
0-5	M	Underlivsplager hos kvinner	2018	NA
0-5	M	Underlivsplager hos kvinner	2019	NA
0-5	M	Underlivsplager hos kvinner	2020	NA
0-5	M	Funksjonelle mage-tarmplager	2012	18441
0-5	M	Funksjonelle mage-tarmplager	2013	19404
0-5	M	Funksjonelle mage-tarmplager	2014	20091
0-5	M	Funksjonelle mage-tarmplager	2015	20517
0-5	M	Funksjonelle mage-tarmplager	2016	20391
0-5	M	Funksjonelle mage-tarmplager	2017	20799
0-5	M	Funksjonelle mage-tarmplager	2018	21308
0-5	M	Funksjonelle mage-tarmplager	2019	21505
0-5	M	Funksjonelle mage-tarmplager	2020	20819
0-5	M	Hudinfeksjoner	2012	11459
0-5	M	Hudinfeksjoner	2013	11399
0-5	M	Hudinfeksjoner	2014	11473
0-5	M	Hudinfeksjoner	2015	11651
0-5	M	Hudinfeksjoner	2016	10878
0-5	M	Hudinfeksjoner	2017	11284
0-5	M	Hudinfeksjoner	2018	11000
0-5	M	Hudinfeksjoner	2019	11082
0-5	M	Hudinfeksjoner	2020	10148
0-5	M	Ulykker og skader	2012	13141
0-5	M	Ulykker og skader	2013	13357
0-5	M	Ulykker og skader	2014	13481
0-5	M	Ulykker og skader	2015	13054
0-5	M	Ulykker og skader	2016	12906
0-5	M	Ulykker og skader	2017	12937
0-5	M	Ulykker og skader	2018	12717
0-5	M	Ulykker og skader	2019	12479
0-5	M	Ulykker og skader	2020	11884
0-5	M	Medfodt sykdom eller feil	2012	2318
0-5	M	Medfodt sykdom eller feil	2013	2403
0-5	M	Medfodt sykdom eller feil	2014	2363
0-5	M	Medfodt sykdom eller feil	2015	2176
0-5	M	Medfodt sykdom eller feil	2016	2270
0-5	M	Medfodt sykdom eller feil	2017	2489
0-5	M	Medfodt sykdom eller feil	2018	2373
0-5	M	Medfodt sykdom eller feil	2019	2377
0-5	M	Medfodt sykdom eller feil	2020	2633
0-5	M	Svangerskap, fodsel, prevensjon	2012	NA
0-5	M	Svangerskap, fodsel, prevensjon	2013	NA
0-5	M	Svangerskap, fodsel, prevensjon	2014	NA
0-5	M	Svangerskap, fodsel, prevensjon	2015	NA
0-5	M	Svangerskap, fodsel, prevensjon	2016	NA
0-5	M	Svangerskap, fodsel, prevensjon	2017	NA
0-5	M	Svangerskap, fodsel, prevensjon	2018	NA
0-5	M	Svangerskap, fodsel, prevensjon	2019	NA
0-5	M	Svangerskap, fodsel, prevensjon	2020	NA
0-5	M	Frykt for sykdom	2012	2362
0-5	M	Frykt for sykdom	2013	2611
0-5	M	Frykt for sykdom	2014	2778
0-5	M	Frykt for sykdom	2015	2695
0-5	M	Frykt for sykdom	2016	2641
0-5	M	Frykt for sykdom	2017	2765
0-5	M	Frykt for sykdom	2018	2683
0-5	M	Frykt for sykdom	2019	2709
0-5	M	Frykt for sykdom	2020	9275
0-5	M	Administrativ kontakt	2012	3541
0-5	M	Administrativ kontakt	2013	3864
0-5	M	Administrativ kontakt	2014	4360
0-5	M	Administrativ kontakt	2015	4643
0-5	M	Administrativ kontakt	2016	4818
0-5	M	Administrativ kontakt	2017	3989
0-5	M	Administrativ kontakt	2018	4446
0-5	M	Administrativ kontakt	2019	6747
0-5	M	Administrativ kontakt	2020	11299
0-5	M	Forebyggende kontakt	2012	4940
0-5	M	Forebyggende kontakt	2013	8355
0-5	M	Forebyggende kontakt	2014	8765
0-5	M	Forebyggende kontakt	2015	9260
0-5	M	Forebyggende kontakt	2016	9970
0-5	M	Forebyggende kontakt	2017	9997
0-5	M	Forebyggende kontakt	2018	9685
0-5	M	Forebyggende kontakt	2019	9387
0-5	M	Forebyggende kontakt	2020	7882
0-5	M	Andre diagnoser	2012	120685
0-5	M	Andre diagnoser	2013	115287
0-5	M	Andre diagnoser	2014	118321
0-5	M	Andre diagnoser	2015	113481
0-5	M	Andre diagnoser	2016	110971
0-5	M	Andre diagnoser	2017	110194
0-5	M	Andre diagnoser	2018	105976
0-5	M	Andre diagnoser	2019	104755
0-5	M	Andre diagnoser	2020	93323
0-5	F	Alle diagnoser	2012	324841
0-5	F	Alle diagnoser	2013	306712
0-5	F	Alle diagnoser	2014	311237
0-5	F	Alle diagnoser	2015	297753
0-5	F	Alle diagnoser	2016	299100
0-5	F	Alle diagnoser	2017	294223
0-5	F	Alle diagnoser	2018	284199
0-5	F	Alle diagnoser	2019	286608
0-5	F	Alle diagnoser	2020	244793
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2012	124943
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2013	109896
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2014	111314
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2015	102267
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2016	105806
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2017	99935
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2018	94230
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2019	93737
0-5	F	Luftveisinfeksjoner, inkl. orebetennelse	2020	53901
0-5	F	Lokale smerter og betennelser	2012	4266
0-5	F	Lokale smerter og betennelser	2013	4333
0-5	F	Lokale smerter og betennelser	2014	4519
0-5	F	Lokale smerter og betennelser	2015	4450
0-5	F	Lokale smerter og betennelser	2016	4587
0-5	F	Lokale smerter og betennelser	2017	4708
0-5	F	Lokale smerter og betennelser	2018	4463
0-5	F	Lokale smerter og betennelser	2019	4496
0-5	F	Lokale smerter og betennelser	2020	4613
0-5	F	Ryggproblemer	2012	194
0-5	F	Ryggproblemer	2013	200
0-5	F	Ryggproblemer	2014	187
0-5	F	Ryggproblemer	2015	160
0-5	F	Ryggproblemer	2016	173
0-5	F	Ryggproblemer	2017	174
0-5	F	Ryggproblemer	2018	164
0-5	F	Ryggproblemer	2019	179
0-5	F	Ryggproblemer	2020	181
0-5	F	Generelle smerter og muskelplager	2012	325
0-5	F	Generelle smerter og muskelplager	2013	316
0-5	F	Generelle smerter og muskelplager	2014	322
0-5	F	Generelle smerter og muskelplager	2015	348
0-5	F	Generelle smerter og muskelplager	2016	310
0-5	F	Generelle smerter og muskelplager	2017	309
0-5	F	Generelle smerter og muskelplager	2018	271
0-5	F	Generelle smerter og muskelplager	2019	262
0-5	F	Generelle smerter og muskelplager	2020	328
0-5	F	Ledd- og giktsykdommer	2012	357
0-5	F	Ledd- og giktsykdommer	2013	358
0-5	F	Ledd- og giktsykdommer	2014	400
0-5	F	Ledd- og giktsykdommer	2015	321
0-5	F	Ledd- og giktsykdommer	2016	373
0-5	F	Ledd- og giktsykdommer	2017	364
0-5	F	Ledd- og giktsykdommer	2018	324
0-5	F	Ledd- og giktsykdommer	2019	229
0-5	F	Ledd- og giktsykdommer	2020	285
0-5	F	Psykisk sykdom eller lidelse	2012	2564
0-5	F	Psykisk sykdom eller lidelse	2013	2621
0-5	F	Psykisk sykdom eller lidelse	2014	2756
0-5	F	Psykisk sykdom eller lidelse	2015	2821
0-5	F	Psykisk sykdom eller lidelse	2016	2853
0-5	F	Psykisk sykdom eller lidelse	2017	2971
0-5	F	Psykisk sykdom eller lidelse	2018	3022
0-5	F	Psykisk sykdom eller lidelse	2019	3181
0-5	F	Psykisk sykdom eller lidelse	2020	3755
0-5	F	Atopi, astma, allergi eller eksem	2012	26131
0-5	F	Atopi, astma, allergi eller eksem	2013	25716
0-5	F	Atopi, astma, allergi eller eksem	2014	26550
0-5	F	Atopi, astma, allergi eller eksem	2015	26198
0-5	F	Atopi, astma, allergi eller eksem	2016	27286
0-5	F	Atopi, astma, allergi eller eksem	2017	29334
0-5	F	Atopi, astma, allergi eller eksem	2018	29115
0-5	F	Atopi, astma, allergi eller eksem	2019	29512
0-5	F	Atopi, astma, allergi eller eksem	2020	30296
0-5	F	Hoyt blodtrykk	2012	4
0-5	F	Hoyt blodtrykk	2013	8
0-5	F	Hoyt blodtrykk	2014	6
0-5	F	Hoyt blodtrykk	2015	3
0-5	F	Hoyt blodtrykk	2016	0
0-5	F	Hoyt blodtrykk	2017	5
0-5	F	Hoyt blodtrykk	2018	6
0-5	F	Hoyt blodtrykk	2019	10
0-5	F	Hoyt blodtrykk	2020	3
0-5	F	Hjertesykdom	2012	373
0-5	F	Hjertesykdom	2013	374
0-5	F	Hjertesykdom	2014	350
0-5	F	Hjertesykdom	2015	375
0-5	F	Hjertesykdom	2016	342
0-5	F	Hjertesykdom	2017	320
0-5	F	Hjertesykdom	2018	361
0-5	F	Hjertesykdom	2019	314
0-5	F	Hjertesykdom	2020	294
0-5	F	Diabetes	2012	52
0-5	F	Diabetes	2013	57
0-5	F	Diabetes	2014	77
0-5	F	Diabetes	2015	82
0-5	F	Diabetes	2016	55
0-5	F	Diabetes	2017	49
0-5	F	Diabetes	2018	48
0-5	F	Diabetes	2019	39
0-5	F	Diabetes	2020	53
0-5	F	Kreft	2012	73
0-5	F	Kreft	2013	54
0-5	F	Kreft	2014	51
0-5	F	Kreft	2015	30
0-5	F	Kreft	2016	47
0-5	F	Kreft	2017	25
0-5	F	Kreft	2018	36
0-5	F	Kreft	2019	26
0-5	F	Kreft	2020	31
0-5	F	Underlivsplager hos kvinner	2012	1596
0-5	F	Underlivsplager hos kvinner	2013	1625
0-5	F	Underlivsplager hos kvinner	2014	1748
0-5	F	Underlivsplager hos kvinner	2015	1725
0-5	F	Underlivsplager hos kvinner	2016	1692
0-5	F	Underlivsplager hos kvinner	2017	1655
0-5	F	Underlivsplager hos kvinner	2018	1714
0-5	F	Underlivsplager hos kvinner	2019	1846
0-5	F	Underlivsplager hos kvinner	2020	1834
0-5	F	Funksjonelle mage-tarmplager	2012	18231
0-5	F	Funksjonelle mage-tarmplager	2013	18759
0-5	F	Funksjonelle mage-tarmplager	2014	19357
0-5	F	Funksjonelle mage-tarmplager	2015	19919
0-5	F	Funksjonelle mage-tarmplager	2016	19499
0-5	F	Funksjonelle mage-tarmplager	2017	20389
0-5	F	Funksjonelle mage-tarmplager	2018	21090
0-5	F	Funksjonelle mage-tarmplager	2019	21197
0-5	F	Funksjonelle mage-tarmplager	2020	20948
0-5	F	Hudinfeksjoner	2012	11232
0-5	F	Hudinfeksjoner	2013	10780
0-5	F	Hudinfeksjoner	2014	10890
0-5	F	Hudinfeksjoner	2015	11018
0-5	F	Hudinfeksjoner	2016	10593
0-5	F	Hudinfeksjoner	2017	10835
0-5	F	Hudinfeksjoner	2018	10062
0-5	F	Hudinfeksjoner	2019	10447
0-5	F	Hudinfeksjoner	2020	9636
0-5	F	Ulykker og skader	2012	9972
0-5	F	Ulykker og skader	2013	10116
0-5	F	Ulykker og skader	2014	10071
0-5	F	Ulykker og skader	2015	9642
0-5	F	Ulykker og skader	2016	9541
0-5	F	Ulykker og skader	2017	9370
0-5	F	Ulykker og skader	2018	9239
0-5	F	Ulykker og skader	2019	8979
0-5	F	Ulykker og skader	2020	8676
0-5	F	Medfodt sykdom eller feil	2012	1625
0-5	F	Medfodt sykdom eller feil	2013	1545
0-5	F	Medfodt sykdom eller feil	2014	1507
0-5	F	Medfodt sykdom eller feil	2015	1439
0-5	F	Medfodt sykdom eller feil	2016	1509
0-5	F	Medfodt sykdom eller feil	2017	1480
0-5	F	Medfodt sykdom eller feil	2018	1557
0-5	F	Medfodt sykdom eller feil	2019	1575
0-5	F	Medfodt sykdom eller feil	2020	1721
0-5	F	Svangerskap, fodsel, prevensjon	2012	NA
0-5	F	Svangerskap, fodsel, prevensjon	2013	NA
0-5	F	Svangerskap, fodsel, prevensjon	2014	NA
0-5	F	Svangerskap, fodsel, prevensjon	2015	NA
0-5	F	Svangerskap, fodsel, prevensjon	2016	NA
0-5	F	Svangerskap, fodsel, prevensjon	2017	NA
0-5	F	Svangerskap, fodsel, prevensjon	2018	NA
0-5	F	Svangerskap, fodsel, prevensjon	2019	NA
0-5	F	Svangerskap, fodsel, prevensjon	2020	NA
0-5	F	Frykt for sykdom	2012	2338
0-5	F	Frykt for sykdom	2013	2429
0-5	F	Frykt for sykdom	2014	2329
0-5	F	Frykt for sykdom	2015	2227
0-5	F	Frykt for sykdom	2016	2267
0-5	F	Frykt for sykdom	2017	2211
0-5	F	Frykt for sykdom	2018	2327
0-5	F	Frykt for sykdom	2019	2259
0-5	F	Frykt for sykdom	2020	7920
0-5	F	Administrativ kontakt	2012	3384
0-5	F	Administrativ kontakt	2013	3577
0-5	F	Administrativ kontakt	2014	3873
0-5	F	Administrativ kontakt	2015	4120
0-5	F	Administrativ kontakt	2016	4153
0-5	F	Administrativ kontakt	2017	3402
0-5	F	Administrativ kontakt	2018	3924
0-5	F	Administrativ kontakt	2019	5726
0-5	F	Administrativ kontakt	2020	10155
0-5	F	Forebyggende kontakt	2012	4100
0-5	F	Forebyggende kontakt	2013	7181
0-5	F	Forebyggende kontakt	2014	7710
0-5	F	Forebyggende kontakt	2015	8049
0-5	F	Forebyggende kontakt	2016	8483
0-5	F	Forebyggende kontakt	2017	8284
0-5	F	Forebyggende kontakt	2018	8158
0-5	F	Forebyggende kontakt	2019	8201
0-5	F	Forebyggende kontakt	2020	6599
0-5	F	Andre diagnoser	2012	112973
0-5	F	Andre diagnoser	2013	106637
0-5	F	Andre diagnoser	2014	107101
0-5	F	Andre diagnoser	2015	102422
0-5	F	Andre diagnoser	2016	99376
0-5	F	Andre diagnoser	2017	98240
0-5	F	Andre diagnoser	2018	93908
0-5	F	Andre diagnoser	2019	94213
0-5	F	Andre diagnoser	2020	83343
6-15	M	Alle diagnoser	2012	341892
6-15	M	Alle diagnoser	2013	337637
6-15	M	Alle diagnoser	2014	353400
6-15	M	Alle diagnoser	2015	355152
6-15	M	Alle diagnoser	2016	367637
6-15	M	Alle diagnoser	2017	375400
6-15	M	Alle diagnoser	2018	374460
6-15	M	Alle diagnoser	2019	380031
6-15	M	Alle diagnoser	2020	398577
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2012	65790
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2013	57994
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2014	53912
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2015	57957
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2016	63562
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2017	62752
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2018	59957
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2019	55588
6-15	M	Luftveisinfeksjoner, inkl. orebetennelse	2020	42883
6-15	M	Lokale smerter og betennelser	2012	25393
6-15	M	Lokale smerter og betennelser	2013	25908
6-15	M	Lokale smerter og betennelser	2014	27563
6-15	M	Lokale smerter og betennelser	2015	27839
6-15	M	Lokale smerter og betennelser	2016	28311
6-15	M	Lokale smerter og betennelser	2017	29178
6-15	M	Lokale smerter og betennelser	2018	27785
6-15	M	Lokale smerter og betennelser	2019	28914
6-15	M	Lokale smerter og betennelser	2020	26683
6-15	M	Ryggproblemer	2012	3180
6-15	M	Ryggproblemer	2013	3072
6-15	M	Ryggproblemer	2014	3469
6-15	M	Ryggproblemer	2015	3359
6-15	M	Ryggproblemer	2016	3389
6-15	M	Ryggproblemer	2017	3531
6-15	M	Ryggproblemer	2018	3269
6-15	M	Ryggproblemer	2019	3278
6-15	M	Ryggproblemer	2020	2935
6-15	M	Generelle smerter og muskelplager	2012	1757
6-15	M	Generelle smerter og muskelplager	2013	1873
6-15	M	Generelle smerter og muskelplager	2014	1979
6-15	M	Generelle smerter og muskelplager	2015	1929
6-15	M	Generelle smerter og muskelplager	2016	1819
6-15	M	Generelle smerter og muskelplager	2017	1802
6-15	M	Generelle smerter og muskelplager	2018	1618
6-15	M	Generelle smerter og muskelplager	2019	1728
6-15	M	Generelle smerter og muskelplager	2020	1507
6-15	M	Ledd- og giktsykdommer	2012	2571
6-15	M	Ledd- og giktsykdommer	2013	2589
6-15	M	Ledd- og giktsykdommer	2014	2795
6-15	M	Ledd- og giktsykdommer	2015	2679
6-15	M	Ledd- og giktsykdommer	2016	2925
6-15	M	Ledd- og giktsykdommer	2017	2913
6-15	M	Ledd- og giktsykdommer	2018	2591
6-15	M	Ledd- og giktsykdommer	2019	2663
6-15	M	Ledd- og giktsykdommer	2020	2558
6-15	M	Psykisk sykdom eller lidelse	2012	26775
6-15	M	Psykisk sykdom eller lidelse	2013	26736
6-15	M	Psykisk sykdom eller lidelse	2014	27625
6-15	M	Psykisk sykdom eller lidelse	2015	28702
6-15	M	Psykisk sykdom eller lidelse	2016	29376
6-15	M	Psykisk sykdom eller lidelse	2017	31946
6-15	M	Psykisk sykdom eller lidelse	2018	31983
6-15	M	Psykisk sykdom eller lidelse	2019	33679
6-15	M	Psykisk sykdom eller lidelse	2020	38781
6-15	M	Atopi, astma, allergi eller eksem	2012	34342
6-15	M	Atopi, astma, allergi eller eksem	2013	32325
6-15	M	Atopi, astma, allergi eller eksem	2014	37442
6-15	M	Atopi, astma, allergi eller eksem	2015	35246
6-15	M	Atopi, astma, allergi eller eksem	2016	35943
6-15	M	Atopi, astma, allergi eller eksem	2017	37593
6-15	M	Atopi, astma, allergi eller eksem	2018	36961
6-15	M	Atopi, astma, allergi eller eksem	2019	40568
6-15	M	Atopi, astma, allergi eller eksem	2020	46449
6-15	M	Hoyt blodtrykk	2012	51
6-15	M	Hoyt blodtrykk	2013	41
6-15	M	Hoyt blodtrykk	2014	35
6-15	M	Hoyt blodtrykk	2015	43
6-15	M	Hoyt blodtrykk	2016	40
6-15	M	Hoyt blodtrykk	2017	23
6-15	M	Hoyt blodtrykk	2018	41
6-15	M	Hoyt blodtrykk	2019	40
6-15	M	Hoyt blodtrykk	2020	49
6-15	M	Hjertesykdom	2012	337
6-15	M	Hjertesykdom	2013	356
6-15	M	Hjertesykdom	2014	367
6-15	M	Hjertesykdom	2015	341
6-15	M	Hjertesykdom	2016	334
6-15	M	Hjertesykdom	2017	312
6-15	M	Hjertesykdom	2018	325
6-15	M	Hjertesykdom	2019	322
6-15	M	Hjertesykdom	2020	391
6-15	M	Diabetes	2012	351
6-15	M	Diabetes	2013	439
6-15	M	Diabetes	2014	423
6-15	M	Diabetes	2015	396
6-15	M	Diabetes	2016	411
6-15	M	Diabetes	2017	375
6-15	M	Diabetes	2018	432
6-15	M	Diabetes	2019	405
6-15	M	Diabetes	2020	571
6-15	M	Kreft	2012	84
6-15	M	Kreft	2013	90
6-15	M	Kreft	2014	81
6-15	M	Kreft	2015	102
6-15	M	Kreft	2016	113
6-15	M	Kreft	2017	105
6-15	M	Kreft	2018	97
6-15	M	Kreft	2019	98
6-15	M	Kreft	2020	148
6-15	M	Underlivsplager hos kvinner	2012	NA
6-15	M	Underlivsplager hos kvinner	2013	NA
6-15	M	Underlivsplager hos kvinner	2014	NA
6-15	M	Underlivsplager hos kvinner	2015	NA
6-15	M	Underlivsplager hos kvinner	2016	NA
6-15	M	Underlivsplager hos kvinner	2017	NA
6-15	M	Underlivsplager hos kvinner	2018	NA
6-15	M	Underlivsplager hos kvinner	2019	NA
6-15	M	Underlivsplager hos kvinner	2020	NA
6-15	M	Funksjonelle mage-tarmplager	2012	18420
6-15	M	Funksjonelle mage-tarmplager	2013	20204
6-15	M	Funksjonelle mage-tarmplager	2014	21370
6-15	M	Funksjonelle mage-tarmplager	2015	21589
6-15	M	Funksjonelle mage-tarmplager	2016	23302
6-15	M	Funksjonelle mage-tarmplager	2017	24024
6-15	M	Funksjonelle mage-tarmplager	2018	25482
6-15	M	Funksjonelle mage-tarmplager	2019	25675
6-15	M	Funksjonelle mage-tarmplager	2020	24588
6-15	M	Hudinfeksjoner	2012	21921
6-15	M	Hudinfeksjoner	2013	22433
6-15	M	Hudinfeksjoner	2014	24117
6-15	M	Hudinfeksjoner	2015	24159
6-15	M	Hudinfeksjoner	2016	24219
6-15	M	Hudinfeksjoner	2017	24559
6-15	M	Hudinfeksjoner	2018	25807
6-15	M	Hudinfeksjoner	2019	26211
6-15	M	Hudinfeksjoner	2020	25595
6-15	M	Ulykker og skader	2012	23987
6-15	M	Ulykker og skader	2013	24169
6-15	M	Ulykker og skader	2014	25246
6-15	M	Ulykker og skader	2015	24632
6-15	M	Ulykker og skader	2016	24825
6-15	M	Ulykker og skader	2017	24986
6-15	M	Ulykker og skader	2018	24200
6-15	M	Ulykker og skader	2019	23813
6-15	M	Ulykker og skader	2020	21284
6-15	M	Medfodt sykdom eller feil	2012	2864
6-15	M	Medfodt sykdom eller feil	2013	2989
6-15	M	Medfodt sykdom eller feil	2014	3012
6-15	M	Medfodt sykdom eller feil	2015	2911
6-15	M	Medfodt sykdom eller feil	2016	2808
6-15	M	Medfodt sykdom eller feil	2017	2927
6-15	M	Medfodt sykdom eller feil	2018	2925
6-15	M	Medfodt sykdom eller feil	2019	2851
6-15	M	Medfodt sykdom eller feil	2020	3260
6-15	M	Svangerskap, fodsel, prevensjon	2012	NA
6-15	M	Svangerskap, fodsel, prevensjon	2013	NA
6-15	M	Svangerskap, fodsel, prevensjon	2014	NA
6-15	M	Svangerskap, fodsel, prevensjon	2015	NA
6-15	M	Svangerskap, fodsel, prevensjon	2016	NA
6-15	M	Svangerskap, fodsel, prevensjon	2017	NA
6-15	M	Svangerskap, fodsel, prevensjon	2018	NA
6-15	M	Svangerskap, fodsel, prevensjon	2019	NA
6-15	M	Svangerskap, fodsel, prevensjon	2020	NA
6-15	M	Frykt for sykdom	2012	2038
6-15	M	Frykt for sykdom	2013	2074
6-15	M	Frykt for sykdom	2014	2158
6-15	M	Frykt for sykdom	2015	2155
6-15	M	Frykt for sykdom	2016	2137
6-15	M	Frykt for sykdom	2017	2411
6-15	M	Frykt for sykdom	2018	2233
6-15	M	Frykt for sykdom	2019	2439
6-15	M	Frykt for sykdom	2020	12255
6-15	M	Administrativ kontakt	2012	3741
6-15	M	Administrativ kontakt	2013	4144
6-15	M	Administrativ kontakt	2014	4872
6-15	M	Administrativ kontakt	2015	5389
6-15	M	Administrativ kontakt	2016	5460
6-15	M	Administrativ kontakt	2017	4805
6-15	M	Administrativ kontakt	2018	5338
6-15	M	Administrativ kontakt	2019	7591
6-15	M	Administrativ kontakt	2020	14510
6-15	M	Forebyggende kontakt	2012	5588
6-15	M	Forebyggende kontakt	2013	8330
6-15	M	Forebyggende kontakt	2014	9416
6-15	M	Forebyggende kontakt	2015	9823
